xml:id	Lemma	Wortart	Level	Definition	Konzept
CM00677	Mupp	m.		schlechter, minderwertiger Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
CM00713	Musikante-brih	f.		(eigentl. Musikantenbrühe) verächtl. für schlechten Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee
CN00228	Ninni	f.		Milch in der Kindersprache	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
CN00255	Niwo	m.	2.	Wasserwage	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
CO00049	of-rämen	tr. v.		abrahmen, die Sahne von der Milch abschöpfen	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
CO00062	Ohme	m.		Ohm, Flüssigkeitsmaß bes. für Wein (etwa 140 Lit	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
CO00176	op-klappen	tr. v.	2.	am Wirtstisch Getränk bestellen, indem man mit dem Bierkrug od. dem Glase auf klopft	Getränk
CO00248	Owes-dronk	m.		Abendtrunk	Getränk
CO00251	Owesstrach	m.		die am Abend gemolkene Milch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
CR00037	rädelen	tr. v.	2.	zuviel essen od. trinken	Trinken
CR00162	Rattegift			allg. schlechter Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
CR00164	Ratteschwanz		b)	ganz runde Feile	Getränk
CR00186	Rausch	m.	1.	Betrunkenheit	Getränk
CR00204	Rbhisel			Weinberghäuschen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
CR00242	regalieren		2.	sich durch Speise u. Trank laben	Getränk
CR00330	Rend I			Runde	Getränk
CR00400	Ribott	f.		Rausch, Saufgelage	Trinken.Alkohol_trinken
CR00543	rond-erm		2.	ringsherum	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
CR00630	rulieren	intr. v.	2.	herumstreifen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
